Country,2019,2018,2017,2016,2015
Cyprus,0.9 [0.7-1.1],0.9 [0.7-1.2],1.0 [0.8-1.2],1.0 [0.9-1.2],1.1 [0.9-1.3]
Czechia,0.9 [0.8-1.0],0.9 [0.8-0.9],0.9 [0.8-1.0],0.9 [0.9-1.0],0.9 [0.9-1.0]
Democratic People's Republic of Korea,3.9 [3.1-5.0],4.1 [3.2-5.2],4.2 [3.3-5.4],4.4 [3.4-5.6],4.6 [3.6-5.9]
Democratic Republic of the Congo,22.1 [16.7-29.3],22.6 [17.5-29.5],23.2 [18.3-29.7],23.7 [18.9-29.9],24.2 [19.6-30.1]
Denmark,0.6 [0.5-0.7],0.6 [0.5-0.7],0.6 [0.6-0.7],0.7 [0.6-0.7],0.7 [0.6-0.7]
Djibouti,12.8 [10.0-16.4],13.2 [10.3-16.9],13.6 [10.6-17.4],14.0 [10.9-17.9],14.5 [11.3-18.5]
Dominica,3.2 [2.0-5.2],3.3 [2.1-5.2],3.3 [2.1-5.2],3.4 [2.2-5.1],3.4 [2.3-5.0]
Dominican Republic,2.8 [1.7-4.9],2.9 [1.8-4.9],3.0 [1.9-4.9],3.1 [2.0-4.9],3.2 [2.2-4.9]
Ecuador,3.3 [2.0-5.6],3.4 [2.1-5.6],3.5 [2.2-5.6],3.6 [2.3-5.5],3.7 [2.5-5.5]
Egypt,4.3 [4.2-4.4],4.4 [4.3-4.5],4.5 [4.4-4.6],4.6 [4.5-4.7],4.7 [4.7-4.8]
El Salvador,3.2 [2.8-3.6],3.2 [2.9-3.5],3.2 [3.0-3.5],3.2 [3.0-3.4],3.2 [3.0-3.3]
Equatorial Guinea,16.2 [12.7-20.8],16.8 [13.1-21.5],17.4 [13.6-22.3],18.0 [14.1-23.1],18.6 [14.5-23.8]
Eritrea,7.5 [4.1-15.2],7.7 [4.3-15.3],8.0 [4.6-15.5],8.3 [4.8-15.5],8.6 [5.1-15.6]
Estonia,1.1 [0.9-1.3],1.2 [1.0-1.4],1.2 [1.1-1.4],1.3 [1.1-1.5],1.4 [1.2-1.5]
Eswatini,13.4 [6.9-25.5],13.8 [7.2-25.4],14.1 [7.6-25.2],14.3 [7.9-25.0],14.6 [8.3-24.8]
Ethiopia,10.7 [6.3-15.9],11.2 [6.8-16.2],11.7 [7.5-16.7],12.4 [8.2-17.3],13.3 [9.1-18.0]
Fiji,4.8 [4.0-5.7],4.8 [4.1-5.7],4.9 [4.3-5.6],4.9 [4.3-5.5],4.9 [4.4-5.5]
Finland,0.7 [0.6-0.8],0.7 [0.7-0.8],0.8 [0.7-0.8],0.8 [0.7-0.9],0.8 [0.8-0.9]
France,0.7 [0.7-0.8],0.8 [0.7-0.8],0.8 [0.7-0.8],0.8 [0.8-0.8],0.8 [0.8-0.8]
Gabon,12.3 [6.4-24.2],12.7 [6.7-24.4],13.1 [7.1-24.4],13.4 [7.5-24.4],13.8 [7.9-24.4]
Gambia,10.3 [8.1-13.3],10.7 [8.4-13.7],11.1 [8.7-14.3],11.5 [9.0-14.8],12.0 [9.4-15.4]
Georgia,2.4 [2.2-2.7],2.5 [2.3-2.7],2.5 [2.3-2.7],2.5 [2.4-2.7],2.6 [2.4-2.7]
Germany,0.8 [0.8-0.9],0.8 [0.8-0.8],0.8 [0.8-0.8],0.8 [0.8-0.8],0.8 [0.8-0.8]
Ghana,10.7 [8.5-13.5],11.0 [8.9-13.6],11.3 [9.3-13.8],11.6 [9.7-14.0],12.0 [10.1-14.2]
Greece,0.9 [0.8-1.0],0.9 [0.8-1.0],0.9 [0.9-1.0],0.9 [0.9-1.0],1.0 [0.9-1.0]
Grenada,3.8 [2.8-5.1],3.8 [2.9-5.0],3.8 [3.0-4.9],3.8 [3.0-4.8],3.8 [3.1-4.7]
Guatemala,3.7 [3.4-3.9],3.8 [3.6-3.9],3.8 [3.7-4.0],3.9 [3.8-4.0],4.0 [3.9-4.1]
Guinea,18.8 [14.9-24.7],19.3 [15.6-24.8],19.8 [16.3-25.0],20.3 [16.9-25.1],20.9 [17.5-25.2]
Guinea-Bissau,15.5 [8.2-26.6],16.0 [8.8-26.7],16.6 [9.4-26.9],17.2 [10.2-27.1],17.8 [11.1-27.2]
Guyana,4.9 [3.9-6.1],5.0 [4.0-6.0],5.0 [4.2-6.0],5.1 [4.4-5.9],5.1 [4.5-5.7]
Haiti,10.9 [7.4-15.3],11.2 [7.8-15.4],11.5 [8.2-15.6],11.9 [8.6-15.8],12.2 [9.1-16.1]
Honduras,4.4 [2.8-8.4],4.5 [2.9-8.3],4.6 [3.1-8.2],4.8 [3.2-8.0],4.9 [3.4-7.7]
Hungary,1.0 [0.9-1.0],1.0 [0.9-1.1],1.0 [1.0-1.1],1.1 [1.0-1.1],1.1 [1.0-1.2]
Iceland,0.5 [0.3-0.7],0.5 [0.3-0.7],0.5 [0.4-0.7],0.6 [0.4-0.8],0.6 [0.4-0.8]
India,5.5 [4.5-6.6],5.7 [4.8-6.7],6.0 [5.2-6.8],6.3 [5.6-7.0],6.7 [6.0-7.3]
Indonesia,5.1 [4.0-7.3],5.3 [4.2-7.3],5.4 [4.3-7.3],5.6 [4.5-7.3],5.8 [4.7-7.3]
Iran (Islamic Republic of),3.5 [3.2-3.7],3.6 [3.4-3.8],3.8 [3.7-3.9],4.0 [3.9-4.0],4.2 [4.1-4.3]
Iraq,3.8 [1.7-8.4],4.3 [2.0-9.2],9.3 [4.5-19.6],12.3 [6.1-25.1],11.2 [5.7-22.3]
Ireland,0.6 [0.5-0.7],0.6 [0.5-0.7],0.7 [0.6-0.8],0.7 [0.6-0.8],0.7 [0.7-0.8]
Israel,0.9 [0.8-0.9],0.9 [0.8-1.0],0.9 [0.9-1.0],1.0 [0.9-1.0],1.0 [0.9-1.0]
Italy,0.9 [0.7-1.0],0.8 [0.8-0.9],0.8 [0.8-0.9],0.8 [0.8-0.8],0.8 [0.8-0.8]
Jamaica,2.7 [2.1-3.5],2.8 [2.2-3.5],2.8 [2.2-3.6],2.9 [2.3-3.7],3.0 [2.3-3.8]
Japan,0.7 [0.7-0.8],0.8 [0.7-0.8],0.8 [0.8-0.8],0.8 [0.8-0.8],0.8 [0.8-0.8]
Jordan,3.4 [3.2-3.7],3.4 [3.2-3.6],3.3 [3.2-3.5],3.3 [3.2-3.4],3.2 [3.1-3.3]
Kazakhstan,2.7 [2.7-2.8],2.8 [2.7-2.9],2.9 [2.8-3.0],3.0 [2.9-3.0],3.1 [3.0-3.1]
Kenya,9.9 [5.9-17.1],10.2 [6.2-16.9],10.4 [6.6-16.7],10.6 [6.9-16.4],10.8 [7.3-16.0]
Kiribati,9.3 [7.3-11.9],9.5 [7.5-12.2],9.8 [7.6-12.5],10.0 [7.8-12.8],10.2 [8.0-13.1]
Kuwait,1.8 [1.6-2.3],1.9 [1.7-2.2],1.9 [1.8-2.1],1.9 [1.8-2.1],2.0 [1.8-2.1]
Kyrgyzstan,3.0 [2.8-3.1],3.0 [2.9-3.2],3.1 [3.0-3.2],3.1 [3.0-3.2],3.2 [3.1-3.2]
Lao People's Democratic Republic,8.2 [5.6-11.3],8.5 [6.1-11.6],9.0 [6.5-11.9],9.5 [7.1-12.4],10.1 [7.7-12.9]
Latvia,1.4 [1.1-1.6],1.5 [1.2-1.6],1.5 [1.3-1.7],1.6 [1.4-1.8],1.7 [1.5-1.9]
Lebanon,1.9 [1.4-2.4],1.9 [1.5-2.4],2.2 [1.7-2.8],2.0 [1.5-2.5],2.2 [1.7-2.9]
Lesotho,8.6 [6.4-11.6],8.8 [6.7-11.6],9.1 [7.0-11.8],9.3 [7.3-11.9],9.5 [7.6-12.0]
Liberia,15.5 [8.4-26.1],16.0 [8.9-26.0],16.6 [9.5-26.2],17.1 [10.1-26.0],17.6 [10.7-26.1]
Libya,4.1 [1.8-10.4],3.7 [1.6-9.1],4.1 [1.9-9.9],5.3 [2.5-12.6],5.1 [2.4-11.8]
Lithuania,1.4 [1.2-1.6],1.5 [1.3-1.6],1.5 [1.4-1.7],1.6 [1.5-1.8],1.7 [1.6-1.8]
Luxembourg,0.4 [0.3-0.6],0.4 [0.3-0.6],0.4 [0.3-0.6],0.4 [0.3-0.6],0.4 [0.3-0.6]
Madagascar,18.2 [13.3-27.6],18.5 [13.8-26.9],18.8 [14.2-26.0],19.0 [14.7-25.3],19.2 [15.1-24.7]
Malawi,12.0 [9.3-16.1],12.4 [9.8-16.3],12.9 [10.4-16.5],13.3 [10.9-16.7],13.8 [11.5-17.0]
Malaysia,2.6 [2.5-2.7],2.6 [2.5-2.7],2.6 [2.6-2.7],2.6 [2.6-2.7],2.6 [2.6-2.7]
Maldives,1.9 [1.5-2.3],2.0 [1.6-2.4],2.1 [1.8-2.5],2.2 [2.0-2.6],2.4 [2.1-2.7]
Mali,22.1 [17.5-27.9],22.6 [18.1-28.1],23.1 [18.7-28.3],23.5 [19.4-28.5],24.0 [20.0-28.7]
Malta,0.8 [0.5-1.2],0.8 [0.6-1.2],0.9 [0.6-1.2],0.9 [0.6-1.2],0.9 [0.7-1.2]
Marshall Islands,6.4 [5.0-8.2],6.5 [5.1-8.4],6.7 [5.2-8.6],6.8 [5.4-8.8],7.0 [5.5-9.0]
Mauritania,7.3 [3.3-17.0],7.5 [3.5-17.1],7.7 [3.7-17.3],8.0 [3.8-17.4],8.2 [4.0-17.5]
Mauritius,1.8 [1.6-2.1],1.9 [1.7-2.1],1.9 [1.7-2.1],1.9 [1.8-2.1],2.0 [1.8-2.2]
Mexico,2.5 [2.4-2.6],2.6 [2.5-2.6],2.6 [2.5-2.6],2.6 [2.6-2.6],2.6 [2.6-2.7]
Micronesia (Federated States of),6.0 [4.7-7.7],6.2 [4.8-7.9],6.4 [4.9-8.1],6.5 [5.1-8.3],6.7 [5.2-8.5]
Monaco,0.8 [0.7-1.1],0.9 [0.7-1.1],0.9 [0.7-1.1],0.9 [0.7-1.2],0.9 [0.7-1.2]
Mongolia,3.4 [3.2-3.7],3.8 [3.6-4.0],4.2 [4.1-4.4],4.7 [4.5-4.8],5.1 [4.9-5.2]
Montenegro,1.0 [0.7-1.3],1.0 [0.7-1.3],1.0 [0.8-1.4],1.1 [0.8-1.4],1.1 [0.9-1.4]
