,Country,Year,Life expectancy,Children out of primary school,Deaths(HIV/AIDS),Incidence(HIV/AIDS),Prevalence(HIV/AIDS),Disability-Adjusted Life Years,Maternal mortality,Child mortality
30,DZA,2007,73.936,153328,324.7876893787105,883.971738439,490.606628398,28163.62509255464,148.0,3.0700000000000003
31,DZA,2008,74.311,98566,328.8520940410438,961.600704934,552.400183199,27726.308816703942,148.0,2.94
32,DZA,2009,74.644,29031,347.8249128070805,1029.25832209,615.9099730620001,27332.21846685047,148.0,2.83
33,DZA,2010,74.938,30997,355.56033360543233,1073.46547189,673.096354629,26834.74925705091,147.0,2.7300000000000004
34,DZA,2011,75.199,26336,372.1000225829248,1096.13667973,727.000759631,26439.72237027754,147.0,2.66
35,DZA,2012,75.436,24848,393.0738006325208,1105.74633241,785.400534211,25945.050568994982,145.0,2.6100000000000003
36,DZA,2015,76.09,23175,371.6621020541266,1036.56569418,981.642227068,25247.562761560715,140.0,2.5500000000000003
37,AGO,1998,45.763,1025431,2101.0937510096805,12628.4279262,4496.0287538600005,96794.87642089196,1030.0,21.65
38,AGO,2008,53.243,655870,11383.828359740868,27022.102224,18713.3637692,67366.28454451433,606.0,13.79
39,AGO,2009,54.311,728219,12265.133058885467,27487.8264682,20384.1127404,65122.58818799653,581.0,12.830000000000002
40,AGO,2010,55.35,730775,12989.071031802318,27875.5984936,21849.442202,62840.888286181085,561.0,11.94
41,AGO,2011,56.33,773837,13797.436704416925,27998.3197349,23132.2246494,60846.32029364004,546.0,11.1
42,ARG,1991,71.813,176958,717.6314975648004,6986.68874516,4812.1831727,31224.60843962972,71.0,2.83
43,ARG,1997,73.029,0,2046.944473554302,8227.12894191,8249.37314272,29754.24328870918,64.0,2.2100000000000004
44,ARG,1998,73.213,11114,1897.621687735402,8389.86147729,8886.42171828,29624.973252749463,61.0,2.1100000000000003
45,ARG,1999,73.396,6971,1736.699977855597,8533.76839233,9524.7435264,29327.45342370804,62.0,2.02
46,ARG,2000,73.576,18285,1718.9155187363974,8673.20722263,10112.6457187,28536.028073360765,60.0,1.94
47,ARG,2001,73.755,15555,1730.3196998362,8815.470542,10682.9667368,28284.484576393188,61.0,1.87
48,ARG,2002,73.932,14023,1799.3728785593992,8951.12693296,11300.138759,28383.885764918577,60.0,1.8100000000000005
49,ARG,2003,74.107,14410,1846.5375144902985,9073.51348205,11935.974398,28072.679345708424,61.0,1.7600000000000002
50,ARG,2004,74.28,27193,1699.7405705939004,9176.76287626,12568.481637600002,27127.18371944654,59.0,1.7100000000000002
51,ARG,2005,74.451,18656,1573.129031915298,9282.67797116,13176.8250454,26607.61044064113,58.0,1.66
52,ARG,2006,74.62,11212,1640.257895938102,9468.29016934,13794.6911218,26509.15644273217,57.0,1.6100000000000003
53,ARG,2007,74.787,5382,1662.450315622002,9750.50919028,14455.872190000002,26892.6494546243,58.0,1.58
54,ARG,2008,74.952,7668,1650.5155473242016,10095.0046388,15127.687466900004,26453.75605256525,57.0,1.54
55,ARG,2009,75.116,8719,1658.1167169508992,10441.300065,15782.5180219,26265.253326089045,62.0,1.5
56,ARG,2010,75.278,25533,1571.5452220934023,10712.7390815,16401.8337911,25894.509492423585,58.0,1.4500000000000002
57,ARG,2011,75.439,24042,1538.4805776519,10932.0355432,17010.9657737,25758.99937121441,56.0,1.39
