country,year,gov_exp_pre_primary (% of GDP),gov_exp_primary (% of GDP),gov_exp_secondary (% of GDP),gov_exp_tertiary (% of GDP),gov_exp_pre_primary (US $ millions),gov_exp_primary (US $ millions),gov_exp_secondary (US $ millions),gov_exp_tertiary (US $ millions),gov_exp_all_levels (US $ millions),all_staff_compensation_primary,capital_exp_primary,oecd,gdp,population,gov_exp_primary_per_person (US dollars)
ABW,2014,0.34363,1.54815,2.0332,1.18231,9.50275,42.81187,56.22549,32.69527,163.30051,95.65352,0.0,0,2790849162.01117,103776.0,412.5411463151403
ABW,2015,0.30811,1.42467,1.83316,1.4998,8.99554,41.59405,53.52016,43.78754,174.46398,95.39723,0.0,0,2962905027.93296,104339.0,398.64336441790704
ABW,2016,0.31445,1.52057,1.83654,1.01598,9.32648,45.09899,54.47024,30.13304,163.84205,93.65635,0.0,0,2983636871.50838,104865.0,430.06713393410575
AUS,2010,0.06475,2.04281,2.04181,1.23637,742.0946,23413.46125,23401.91349,14170.46039,63611.38338,56.39448,26.62106,1,1147589183475.73,22031750.0,1062.7145483223076
AUS,2011,0.11069,1.82539,1.85683,1.17738,1545.98734,25494.23912,25933.39212,16443.88433,70873.16659,63.77574,17.93102,1,1397907916789.9,22340024.0,1141.1912144767614
AUS,2012,0.12193,1.6623,1.71688,1.15291,1885.21138,25701.63126,26545.64446,17825.78367,75282.20355,72.42174,7.46274,1,1546508558465.66,22733464.0,1130.5637917741
AUS,2013,0.14306,1.71633,1.72921,1.35703,2254.82713,27052.50846,27255.52478,21389.3516,82430.32112,71.89316,8.37701,1,1576335282651.07,23128128.0,1169.6799870702896
AUS,2014,0.14861,1.68503,1.67142,1.37066,2180.86019,24727.49839,24527.83898,20114.20637,75792.11971,73.55039,6.22634,1,1467504819608.92,23475686.0,1053.3237831686793
AUS,2015,0.17314,1.68815,1.62129,1.53259,2340.32164,22818.67548,21914.85703,20715.8879,71792.18446,74.67363,5.00107,1,1350534154255.76,23815996.0,958.1239214181932
AUS,2016,0.23244,1.74087,1.65038,1.41548,2809.79764,21044.40239,19950.57505,17110.93318,63788.17877,74.8988,5.34669,1,1206685107002.47,24190908.0,869.930239493284
AUS,2017,0.23044,1.70396,1.65504,1.28691,3065.22126,22664.92726,22014.25427,17117.58504,68159.44641,74.12109,7.13343,1,1326882872011.46,24601860.0,921.2688495910472
AUT,2010,0.58873,0.97665,2.52872,1.57986,2307.20261,3827.42803,9909.8897,6191.34729,22339.75272,73.2996,2.28341,1,391892746544.69,8363404.0,457.6399788889787
AUT,2011,0.57197,0.956,2.53676,1.50186,2465.87868,4121.50227,10936.50643,6474.84312,24109.4266,72.17176,1.97855,1,431120310088.82,8391643.0,491.1436616166822
