country,year,gov_exp_pre_primary (% of GDP),gov_exp_primary (% of GDP),gov_exp_secondary (% of GDP),gov_exp_tertiary (% of GDP),gov_exp_pre_primary (US $ millions),gov_exp_primary (US $ millions),gov_exp_secondary (US $ millions),gov_exp_tertiary (US $ millions),gov_exp_all_levels (US $ millions),all_staff_compensation_primary,capital_exp_primary,oecd,gdp,population,gov_exp_primary_per_person (US dollars)
TCD,2011,0.00724,0.91821,0.78911,0.36768,0.88105,111.76776,96.05299,44.7547,274.83813,64.9352,26.95214,0,12172309522.6171,12360986.0,9.04197771925314
TCD,2012,0.00729,1.03028,0.45728,0.66755,0.8322350000000001,127.41806,56.55388,82.55822,272.84319,88.45173,30.269835,0,12367363677.6199,12784748.0,9.966411539750332
TCD,2013,0.00729,1.000405,0.70448,0.9037,0.8322350000000001,116.02464749999999,91.25509,117.06112,369.26819,76.693465,30.269835,0,12953535495.8781,13220433.0,8.776160924532501
TCD,2018,0.00729,1.03007,0.4476,0.23168,0.8322350000000001,115.77126,50.306,26.03835,282.096215,76.693465,30.269835,0,11239167048.4916,15477727.0,7.4798618686064176
CHL,2010,0.55781,1.32085,1.35403,0.92939,1219.022,2886.56014,2959.06784,2031.07227,9095.72225,60.83925,5.73333,1,218537551220.071,17062532.0,169.17536857952854
CHL,2011,0.52534,1.32485,1.31345,0.88154,1325.1769,3341.96943,3313.2038,2223.71299,10204.06313,60.83925,5.73333,1,252251992029.442,17233584.0,193.92190446282098
CHL,2012,0.6367,1.45673,1.48915,0.95913,1700.75809,3891.24497,3977.85851,2562.04426,12074.256174285712,60.83925,5.73333,1,267122320056.702,17400360.0,223.63014156028956
CHL,2013,0.6514442857142857,1.32288,1.34305,1.16019,1657.1274757142855,3682.68188,3738.84895,3229.7985,12609.22623,60.83925,5.73333,1,278384332694.359,17571512.0,209.58252653499596
CHL,2014,0.83904,1.17327,1.3235,1.16837,2186.06081,3056.84488,3448.2795,3044.09625,12326.10519,60.83925,5.73333,1,260541637327.864,17758968.0,172.12964627223835
CHL,2015,0.64268,1.2488,1.43166,1.25207,1567.62223,3046.05556,3492.08015,3054.03961,11891.8011,60.83925,5.73333,1,243919079437.373,17969356.0,169.5138968808899
CHL,2016,0.61082,1.5002,1.55287,1.35663,1529.74398,3757.09657,3889.00268,3397.55199,13378.53622,60.83925,5.73333,1,250440149690.889,18209072.0,206.3310293901853
CHL,2017,0.74772,1.51059,1.54074,1.36849,2071.50832,4184.99962,4268.54569,3791.32044,15014.3391,60.83925,5.73333,1,277034675515.671,18470436.0,226.57828001461363
COL,2010,0.28241,1.73639,1.68315,1.06854,809.27819,4975.84172,4823.27686,3062.03464,13851.96756,89.70094,1.40847,1,286563105192.457,45222700.0,110.0297355089369
COL,2011,0.27076,1.58889,1.61933,0.92025,906.90829,5321.88515,5423.84499,3082.31499,14958.8705,90.32367,0.89891,1,334943871931.746,45662748.0,116.54763199972109
COL,2012,0.26032,1.52805,1.56033,0.96029,965.58403,5667.87699,5787.60903,3561.92808,16210.70636,89.42944,1.84795,1,370921320483.842,46075720.0,123.0122283493345
COL,2013,0.28225,1.67919,1.71309,0.86479,1078.53871,6416.46623,6546.00909,3304.51485,18641.73233,83.67741,8.51383,1,382116126448.555,46495492.0,138.0018998400963
COL,2014,0.26171,1.64809,1.73586,0.96085,997.39653,6281.07313,6615.58078,3661.93459,17643.45097,87.03624,5.89478,1,381112119657.446,46967704.0,133.73174745778505
COL,2015,0.26319,1.64169,1.58279,0.95584,772.42051,4818.06355,4645.1968,2805.21636,13119.77301,86.46888,6.30559,1,293481748240.779,47520668.0,101.3888009739257
COL,2016,0.25826,1.61093,1.55313,1.02871,730.42334,4556.10133,4392.63349,2909.45049,12662.67406,89.17491,4.0794,1,282825009887.458,48175050.0,94.57388252109267
COL,2017,0.25477,1.58775,1.68924,1.02014,794.5834,4951.92911,5268.45866,3181.66491,14145.52378,88.40789,4.98997,1,311883730690.129,48909844.0,101.24606224464752
COL,2018,0.23784,1.45803,1.69641,1.03925,793.35686,4863.53485,5658.69662,3466.60494,14868.81118,91.2957,4.58981,1,334198214706.209,49661056.0,97.93458379137165
COM,2011,0.20649,1.58882,0.78116,0.25398,2.1126,16.25504,7.99191,2.59843,28.95798,99.04187,0.0,0,1023086183.79822,706578.0,23.005301608598064
COM,2012,0.20215,1.5555,0.76475,0.22543,2.05355,15.80145,7.76867,2.29004,27.91372,98.90011,0.0,0,1015843368.79008,723865.0,21.829277558660802
COM,2013,0.17046,1.31384,0.66614,0.23213,1.90274,14.66544,7.43566,2.59107,26.59693,95.40998,0.00042,0,1116224161.07781,741511.0,19.777778077466145
COM,2014,0.20109,1.54674,0.78445,0.21246,2.31167,17.78111,9.01789,2.44243,31.55311,94.59451,0.00042,0,1149587651.69395,759390.0,23.414990979602052
COM,2015,0.18003,1.38991,0.70481,0.26498,1.73911,13.42693,6.80864,2.55982,24.58601,94.57843,0.00126,0,966029542.038859,777435.0,17.270807205747104
CRI,2010,0.35939,2.78011,2.0906,1.22191,133.93885,1036.10771,779.13658,455.38906,2472.56763,70.07026,7.35735,1,37658614803.2919,4577371.0,226.35432216440398
CRI,2011,0.36222,2.53911,2.1022,1.26773,153.08578,1073.09554,888.44534,535.77651,2728.20579,77.38668,2.03215,1,42762617081.6142,4633086.0,231.61571790379028
CRI,2012,0.35751,2.61588,2.21588,1.31709,166.14784,1215.67941,1029.78814,612.09203,3108.9786,73.93301,7.11275,1,47231651862.8224,4688003.0,259.31711434485
CRI,2013,0.42752,2.50666,2.30825,1.40513,212.66892,1246.93966,1148.24315,698.98166,3407.20902,74.8002,4.91638,1,50949672205.8222,4742111.0,262.95033161391626
CRI,2014,0.4173,2.49422,2.29745,1.48937,211.06139,1261.52272,1161.99662,753.292,3474.44901,73.93449,4.41417,1,52016408950.8398,4795390.0,263.06989004022614
CRI,2015,0.42487,2.60909,2.38546,1.57617,232.72659,1429.15287,1306.66123,863.36378,3879.53311,71.80144,6.2004,1,56441917653.0156,4847805.0,294.8041165022108
CRI,2016,0.4139,2.41497,2.27101,1.62922,236.5794,1380.34921,1298.0654,931.22895,4056.89203,75.39273,5.135704444444445,1,58847016044.8244,4899336.0,281.74209933754287
CRI,2017,0.43801,2.11571,2.31867,1.72933,256.15373,1237.30712,1355.99865,1011.34423,4278.36679,79.08789,9.60987,1,60516043590.1924,4949955.0,249.96330673713192
CRI,2018,0.3123,2.0011,2.00142,1.61459,189.10803,1211.74423,1211.93748,977.69478,4225.79785,72.17941,1.76847,1,62420165099.7301,4999443.0,242.37584666931897
CRI,2019,0.28882,2.09278,2.409,1.56983,178.41489,1292.79071,1488.13304,969.74602,4354.29851,76.62498,2.8098,1,64072870931.603,5047561.0,256.12185964666895
CIV,2010,0.09121,1.9427,1.5071,1.01245,22.72048,483.90212,375.40115,252.18853,1134.21228,77.64036,5.8661,0,34936305296.8834,20532944.0,23.567108545175014
CIV,2011,0.07712,1.63681,1.35367,1.06995,19.59891,415.99261,344.03444,271.92672,1051.55267,81.66632,1.71338,0,36693712824.7812,21028652.0,19.78218147316338
CIV,2012,0.09067,1.84299,1.56777,1.15267,24.29078,493.7199,419.99197,308.789,1246.79166,75.11037,6.51839,0,36302305578.306,21547188.0,22.91342610460353
CIV,2013,0.09172,1.8576,1.6023,1.17737,28.68493,580.92958,501.08902,368.20132,1478.90484,73.29125,7.98,0,42760237561.3995,22087506.0,26.301275481260763
CIV,2014,0.12364,1.78955,1.70195,0.96229,43.72282,632.84926,601.8701,340.29925,1618.74143,74.8192,6.07217,0,35363533865.7271,22647672.0,27.943236726494447
CIV,2015,0.1031,1.44681,1.19496,0.7493,47.23322,662.85026,547.46458,343.28817,1600.83623,78.85439,3.56588,0,45814637971.4745,23226148.0,28.53896651308689
CIV,2016,0.10946,1.76574,1.21854,0.86989,52.50201,846.92498,584.46512,417.2366,1905.29421,73.21685,0.81713,0,47964234560.0514,23822726.0,35.55113633930894
CIV,2017,0.10878,1.50333,1.19531,0.99022,56.11738,775.54231,616.63991,510.83854,1962.14405,92.93287,0.78329,0,51588158717.5348,24437476.0,31.735777868385426
CIV,2018,0.1128,1.53991,1.1435,0.45675,65.11401,888.90662,660.0845,263.65669,1879.53447,92.66686,1.02652,0,58011466450.8643,25069226.0,35.45807995827234
CYP,2010,0.36142,2.0288,2.81416,1.33843,93.00146,522.05886,724.15219,344.40939,1683.6219,77.3159,12.28205,0,25732432719.0773,1112617.0,469.2170441400769
CYP,2011,0.36806,2.04799,2.78556,1.33692,101.45741,564.53925,767.85356,368.52867,1802.3789,77.8501,12.53949,0,27565469097.9955,1124837.0,501.88538428234494
CYP,2013,0.35438,1.98398,2.69303,1.45239,84.69916,474.18914,643.65786,347.13375,1549.6799,86.00173,3.07892,0,23900872625.8467,1143866.0,414.5495538813113
CYP,2014,0.3587,2.03292,2.71512,1.34177,82.96001,470.1767,627.95669,310.32682,1491.41756,87.70559,2.18017,0,23156850006.6427,1152297.0,408.0343001847614
CYP,2015,0.35009,2.044,2.62179,1.31395,69.24442,404.28603,518.56873,259.88905,1255.25574,84.65341,4.43647,0,19842404304.8929,1160987.0,348.2261472350681
CYP,2016,0.32639,2.01837,2.524,1.28093,68.18603,421.65721,527.28659,267.5975,1287.67484,82.16776,6.91121,0,20953442550.3653,1170189.0,360.3325702087441
CYP,2017,0.31653,1.88125,2.40704,1.16082,71.6571,425.88893,544.92105,262.79281,1307.87644,85.01082,4.38095,0,22870833709.8961,1179685.0,361.0191958022693
CZE,2010,0.46531,0.65749,1.85881,0.9159,965.40783,1364.14593,3856.6099,1900.28929,8432.84594,57.48557,11.04531,1,209069940963.177,10474410.0,130.23606389285888
CZE,2011,0.47106,0.68735,1.82905,1.10189,1073.78444,1566.79413,4169.29446,2511.74442,9738.26147,56.30631,10.12471,1,229562733398.948,10496088.0,149.27410383754406
CZE,2012,0.5137,0.71319,1.8692,0.99561,1065.29955,1478.9913,3876.28697,2064.66536,8815.27897,56.24781,10.09725,1,208857719320.649,10510785.0,140.71178318270233
CZE,2013,0.54079,0.72651,1.79462,0.87861,1132.42245,1521.3197,3757.97792,1839.83831,8566.41553,56.45872,11.64962,1,211685616592.931,10514272.0,144.69092106424486
CZE,2014,0.54524,0.74456,1.7393,0.80018,1133.10726,1547.32304,3614.57401,1662.92583,8301.56103,55.54994,13.79409,1,209358834156.329,10525347.0,147.00921879345165
CZE,2015,0.52063,0.76881,1.72534,0.77153,972.69407,1436.37048,3223.45241,1441.44898,10815.31409,54.789,12.122,1,188033050459.881,10546059.0,136.199738689116
CZE,2016,0.49122,0.73974,1.62077,0.70379,958.32594,1443.16511,3161.96414,1373.02404,10900.42841,59.92144,8.75854,1,196272068576.338,10566332.0,136.58146554547028
CZE,2017,0.53052,0.81212,1.72334,0.70447,1145.45766,1753.47859,3720.91717,1521.05121,8321.36064,57.95036,9.80118,1,218628940951.675,10594438.0,165.5093540591771
DNK,2010,0.98618,2.0272,2.95467,2.33923,3175.44314,6527.48089,9513.89881,7532.21123,27561.35556,72.07622,10.75297,1,321995279401.502,5547683.0,1176.6138926827648
DNK,2011,1.33395,1.83275,2.72383,2.36766,4588.81523,6304.71364,9370.06928,8144.80761,29188.17499,76.14621,5.35448,1,344003137611.271,5570572.0,1131.7892740637765
DNK,2012,1.08191,2.15129,2.74823,2.17101,3636.0592974999995,7037.92528,8990.81743,7102.43863,23678.45649,77.82732,10.99722,1,327148943812.137,5591572.0,1258.666664759034
DNK,2013,1.17817,2.11283,2.75367,2.28448,4047.99471,7259.36028,9461.19143,7849.11352,29185.54367,69.86278,10.5545,1,343584391647.927,5614932.0,1292.8669982111983
DNK,2014,1.08191,2.0772,3.05412,2.34259,3636.0592974999995,7332.3664,10780.83908,8269.19352,26950.54759,70.67755,10.5545,1,352993631617.708,5643475.0,1299.2644425642002
DNK,2017,0.82934,1.932,2.11539,2.45328,2731.98411,6364.33106,6968.46015,8081.51764,25747.50007,73.51289,9.64424,1,332121063806.391,5764980.0,1103.964117828683
DMA,2010,0.00581,1.72947,1.45302,0.151045,0.02844,8.45838,7.10637,0.785735,24.2177,90.154585,5.016365,0,493825925.925926,70877.0,119.3388546354953
DMA,2012,0.06141,1.55113,5.05627,0.151045,0.30767,7.77155,25.33323,0.785735,24.2177,100.0,0.0,0,485996296.296296,70954.0,109.52941342278096
DMA,2015,0.06606,1.56211,1.47833,0.30209,0.34366,8.1262,7.69036,1.57147,17.73169,80.30917,10.03273,0,540737037.037037,71175.0,114.17211099402881
DMA,2019,0.20707,1.80834,1.79046,0.0,1.14074,9.962,9.86353,0.0,30.70371,90.154585,5.016365,0,611537037.037037,71808.0,138.7310606060606
DOM,2010,0.09652,0.95891,0.58889,0.8269917045454545,51.98621,516.47009,317.17511,679.5419613131312,3158.648792983871,68.38914,11.30555,0,53860175555.9961,9695117.0,53.27115598501803
DOM,2011,0.10228,0.91716,0.59707,0.8269917045454545,59.35239,532.22781,346.47549,679.5419613131312,3158.648792983871,68.63329,11.3651,0,58029750745.6495,9813219.0,54.23580274729424
DOM,2012,0.11513,1.11839,0.72363,0.8269917045454545,69.86213,678.65708,439.1116,679.5419613131312,3158.648792983871,61.42127888888889,16.23477,0,60681537195.7996,9930916.0,68.33781294696279
DOM,2013,0.23852,1.85289,1.25463,0.8269917045454545,149.50912,1161.42958,786.4265,679.5419613131312,3158.648792983871,42.75012,35.2505,0,62682163837.347,10048226.0,115.58553519795434
DOM,2014,0.24659,1.81185,1.22923,0.8269917045454545,165.65631,1217.19753,825.79604,679.5419613131312,3158.648792983871,47.77029,26.26149,0,67179914026.9623,10165182.0,119.74183344675973
DOM,2015,0.25978,1.83447,1.24705,0.8269917045454545,184.87141,1305.49945,887.46286,679.5419613131312,3158.648792983871,58.49378,22.11737,0,71164825256.6849,10281675.0,126.97342115949007
DOM,2016,0.19634999999999997,1.87044,1.27364,0.8269917045454545,140.91014875,1416.01415,964.209,679.5419613131312,3158.648792983871,64.18705,13.22241,0,75704720189.5607,10397738.0,136.18482693062666
DOM,2017,0.19634999999999997,1.65521,1.5644,0.8269917045454545,140.91014875,1324.13277,1251.4917,679.5419613131312,3158.648792983871,58.10074,11.44041,0,79997975621.8654,10513111.0,125.95061252563585
DOM,2018,0.2752,1.77502,1.24822,0.8269917045454545,235.44638,1518.62923,1067.92336,679.5419613131312,3158.648792983871,68.0697,7.6664,0,85555378042.8196,10627147.0,142.90093380659928
DOM,2019,0.23678,2.01311,1.14845,0.8269917045454545,210.59724,1790.48306,1021.44411,679.5419613131312,3158.648792983871,76.3974,7.4837,0,88941299733.5018,10738957.0,166.72783585966496
ECU,2010,0.96409,1.45984,0.47039,1.61311,670.57728,1015.39609,327.18181,1122.00555,3135.16073,94.21053,0.29874,0,69555367000.0,15011114.0,67.64295374747005
ECU,2011,1.1019814285714287,1.54534,0.52646,1.58125,1047.3841614285714,1225.09254,417.3577,1253.56035,3747.32378,94.75967,0.23529,0,79276664000.0,15243885.0,80.36616256288998
ECU,2012,1.06986,1.44645,0.52525,1.60151,940.66836,1271.78547,461.82326,1408.12052,4082.3976,95.32295,0.22549,0,87924544000.0,15474099.0,82.18801430700424
ECU,2013,1.23202,1.54927,0.60933,1.61402,1172.02021,1473.81286,579.65706,1535.40835,4760.89849,94.70548,0.38181,0,95129659000.0,15707473.0,93.82876927434476
ECU,2014,1.18242,1.3526,0.60187,2.12409,1202.83727,1375.95437,612.26114,2160.75874,5351.81152,86.5524,4.49375,0,101726331000.0,15951832.0,86.2568242945387
ECU,2015,1.05571,1.16245,0.60541,2.17512,1048.21737,1154.20562,601.11648,2159.68417,4963.22364,89.51097,1.27047,0,99290381000.0,16212022.0,71.1944271972984
ECU,2016,1.04272,1.12532,0.6184,1.7848500000000003,1042.06799,1124.61457,618.01443,1606.5896133333333,4340.13596,90.48603,1.7062,0,99937696000.0,16491116.0,68.19517672424352
ECU,2018,1.16705,1.26954,0.74582,1.7848500000000003,1255.30065,1365.54591,802.2152,1606.5896133333333,4340.13596,81.57194,0.05017,0,107562008000.0,17084360.0,79.92959115822893
SLV,2010,0.31984,1.72726,1.21825,0.49531,59.00318,318.6446,224.74299,91.37541,746.78714,81.4642675,5.383202,0,18447920000.0,6183877.0,51.52828880652057
SLV,2012,0.28363,1.58713,1.14028,0.28601,60.6567,339.42384,243.86113,61.167,793.94838,76.7147,4.94675,0,21386150000.0,6237922.0,54.41296636924925
SLV,2013,0.28324,1.62552,1.16891,0.31193,62.28624,357.46794,257.05372,68.59547,835.98439,81.4642675,5.383202,0,21990960000.0,6266076.0,57.04813347300607
SLV,2014,0.28447,1.62484,1.17782,0.30608,64.27081,367.10821,266.11159,69.15301,864.01039,81.4642675,5.383202,0,22593470000.0,6295124.0,58.31627939338447
SLV,2015,0.28343,1.58915,1.24244,0.30772,66.4307,372.46869,291.20558,72.12525,916.40619,80.06997,4.65573,0,23438240000.0,6325121.0,58.88720389696892
SLV,2016,0.35368,1.80477,1.34907,0.30705,85.56054,436.60049,326.35867,74.27868,925.38113,75.77672,5.76242,0,24191430000.0,6356137.0,68.68959715626015
SLV,2017,0.36763,1.69893,1.29978,0.34911,91.83082,424.37886,324.67403,87.20468,930.5333,93.29568,6.70432,0,24979190000.0,6388124.0,66.43247062830966
SLV,2018,0.36883,1.65844,1.22219,0.32947,96.32954,433.14115,319.20427,86.04967,938.24687,81.4642675,4.84679,0,26020850000.0,6420740.0,67.45969311948467
EST,2010,0.42956,1.34545,2.19641,1.18979,84.59649,264.96739,432.55142,234.3128,1077.90663,54.856608333333334,7.584385,1,19523477325.6235,1331475.0,199.0029027957716
EST,2011,0.39975,1.21491,1.81056,1.24675,93.50735,284.18671,423.51717,291.63407,1162.53964,54.856608333333334,7.584385,1,23183616045.5168,1327439.0,214.0864551968113
EST,2012,0.42715,1.26493,1.7046,1.02185,99.06801,293.37104,395.34232,236.9945,1086.04182,0.0,0.0,1,23020466784.6112,1322696.0,221.79778271046408
EST,2013,0.35003,1.47731,1.41566,1.35847,88.45673,373.33675,357.75704,343.30326,1216.23028,58.92195,13.99653,1,25108615091.9884,1317997.0,283.26069786198303
EST,2014,0.4016225,1.32064,1.40031,1.40781,91.407145,353.58118,374.91107,376.91842,1436.95347,65.55866,7.30386,1,26598657880.5486,1314545.0,268.97609439007414
EST,2015,0.4016225,1.21859,1.32267,1.38108,91.407145,280.87116,304.86028,318.32324,1177.07032,69.49825,5.92238,1,22881558191.8523,1315407.0,213.52414879957306
EST,2016,0.4016225,1.29095,1.30303,1.40215,91.407145,309.78221,312.68033,336.46701,1240.74603,67.86271,8.27505,1,24056487770.898,1315790.0,235.43438542624585
EST,2017,0.4016225,1.38034,1.31771,1.13734,91.407145,370.74781,353.92459,305.47996,1335.80567,67.29808,10.00849,1,26857880621.935,1317384.0,281.42729075197514
ETH,2010,0.00183,1.27682,1.12486,1.97565,0.59443,414.1664,364.87524,640.84776,1458.57503,80.17993,9.70256,0,29933790334.3418,87639960.0,4.725771212127436
ETH,2011,0.00155,1.45452,1.40408,2.46186,0.46417,435.39337,420.29455,736.92907,1642.09588,82.78812,7.01408,0,31952763089.33,90139930.0,4.8301943396271625
ETH,2012,0.01979,1.36157,1.40855,2.60734,6.32224,435.06013,450.07086,833.11605,1778.7388,80.91389,10.14847,0,43310721414.0829,92726984.0,4.691839540472922
ETH,2013,0.01958,1.08172,1.31841,1.92137,8.47808,468.50102,571.01394,832.15967,1948.35371,76.21078,12.64525,0,47648211133.2183,95385790.0,4.911643654434404
ETH,2014,0.08937,1.40245,0.7625,2.11332,42.58343,668.24013,363.3167,1006.95966,2192.78161,73.69311,16.44487,0,55612228233.5179,98094264.0,6.812224311097334
ETH,2015,0.09136,1.30069,0.85941,2.2672,50.80542,723.34028,477.93453,1260.83948,2634.86215,75.22748,14.82825,0,64589334978.8013,100835460.0,7.173471601100311
FIN,2010,0.37714,1.29483,2.76099,2.07149,939.77414,3226.4707,6879.85676,5161.77016,16207.87177,60.1979,7.46953,1,249181190476.369,5363352.0,601.5772785377502
FIN,2011,0.3835,1.28973,2.7079,2.06392,1055.55955,3549.89645,7453.33591,5680.8039,17739.59582,59.62433,8.32978,1,275243697751.011,5388272.0,658.8190889398309
FIN,2012,0.74295,1.31508,2.71278,2.04181,1919.07013,3396.91859,7007.25278,5274.10221,18463.72625,60.25036,6.90781,1,258304834621.605,5413971.0,627.435682607092
FIN,2013,0.76615,1.3262,2.69145,1.99769,2078.44509,3597.77862,7301.51093,5419.43868,19326.45894,60.14395,6.09537,1,271285280621.373,5438972.0,661.4813644931432
FIN,2014,0.76173,1.35758,2.66045,1.98248,2090.93238,3726.52973,7302.8732,5441.86379,19495.82163,58.94573,8.00275,1,274497230802.958,5461512.0,682.325650845407
FIN,2015,0.75997,1.42358,2.6348,1.8773,1781.66861,3337.44153,6177.0165,4401.14915,16486.01404,56.00244,12.31309,1,234440080998.273,5479531.0,609.0743039869653
FIN,2016,0.75417,1.40533,2.53148,1.81854,1814.59431,3381.33321,6090.93809,4375.54015,16485.31958,55.21089,12.4141,1,240607907010.383,5495303.0,615.3133339508304
FIN,2017,0.7131,1.34143,2.34534,1.65517,1819.28036,3422.28779,5983.50321,4222.71661,16267.1525,54.75174,11.66302,1,255016517537.983,5508214.0,621.3062509917007
GAB,2010,0.11226,0.91169,0.86975,1.16487,16.13443,131.03302,125.00554,167.42201,442.40113,84.15857,9.3125,0,14372591916.4792,1624146.0,80.67810406207323
GAB,2011,0.1242,0.88993,0.93876,1.01845,22.61766,162.05816,170.95062,185.46288,544.02574,77.1727,16.15862,0,18210308748.2912,1684629.0,96.19813027081926
GAB,2012,0.11474,0.81892,1.04256,1.02135,19.70114,140.61174,179.01321,175.37026,517.41494,82.45585,10.67882,0,17170465294.0332,1749677.0,80.3643986861575
GAB,2013,0.0962,0.76477,0.79114,1.3741,16.92764,134.56692,139.20725,241.78302,533.09995,89.71915,2.21986,0,17595745653.3676,1817070.0,74.057091911704
GAB,2014,0.10262,0.77961,0.7717,1.00869,18.68083,141.92044,140.47995,183.62203,485.4389,84.47612,12.1393,0,18203968001.8908,1883801.0,75.33727819445897
GMB,2010,0.0,1.67451,0.59982,0.25329,0.0,25.84262,9.25699,3.90905,39.55799,41.92964,55.95833,0,1543292392.54605,1793199.0,14.411462419954505
GMB,2011,0.0,1.59608,0.67923,0.19086,0.0,22.49991,9.57507,2.69058,35.25892,50.74229,47.21556,0,1409694553.90934,1848142.0,12.174340499810079
GMB,2012,0.0,1.58128,0.82711,0.19415,0.0,22.37526,11.70365,2.74719,37.32184,46.75815,50.95569,0,1415006238.09509,1905020.0,11.745419995590598
GMB,2013,0.0,0.9421,0.64546,0.19508,0.0,12.95955,8.87907,2.68347,25.014,82.12987,9.61231,0,1375608956.10386,1963708.0,6.599530072699199
GMB,2014,0.0,1.23113,0.67444,0.32502,0.0,15.1362,8.29201,3.99598,27.42857,55.389987500000004,40.9354725,0,1229460601.92174,2024037.0,7.478222977149134
GMB,2015,0.0,1.20609,0.70924,0.24469,0.0,16.34002,9.60867,3.3151,29.2638,55.389987500000004,40.9354725,0,1378176868.31568,2085860.0,7.8337088778729145
DEU,2010,0.45099,0.66656,2.25173,1.34283,15317.1825,22638.5851,76476.6094,45607.10317,167904.93892,74.50172,10.21105,1,3396354075663.73,81776930.0,276.8334009807754
DEU,2011,0.45828,0.63742,2.14967,1.35714,17159.70658,23867.42976,80492.49941,50816.87066,180662.75967,74.87274,9.15233,1,3744408602683.94,80274984.0,297.32089090170354
DEU,2012,0.42732,0.63496,2.1392,1.32758,15072.92232,22397.33305,75456.94824,46828.40632,174835.77374,77.25998,6.27604,1,3527344944139.83,80425820.0,278.4843466446797
DEU,2013,0.44383,0.63424,2.10989,1.31386,16566.90153,23674.72565,78756.63131,49042.88879,185185.49513,77.14404,5.8196,1,3732743446218.92,80645610.0,293.56497194490737
DEU,2014,0.44062,0.63195,2.07292,1.31334,17113.22276,24544.25446,80510.72491,51008.94673,191850.84269,77.07819,6.05662,1,3883920155292.26,80982500.0,303.0809825866567
DEU,2015,0.4588,0.62531,2.02367,1.25463,15418.24265,21013.86938,68006.34459,42162.52771,162481.93649,76.99098,5.88503,1,3356235704119.75,81686610.0,257.2498711171848
DEU,2016,0.45928,0.6254,1.99691,1.25777,15922.29168,21681.36546,69228.58865,43604.21048,167800.23951,76.92161,6.28951,1,3467498002104.33,82348670.0,263.28737226023514
DEU,2017,0.49342,0.63432,1.99692,1.25166,18087.77719,23252.7925,73203.1143,45883.58254,179812.03067,77.01934,6.38278,1,3681732583768.5,82657000.0,281.31667614358133
GHA,2010,0.3354,1.71019,2.05652,1.4377,107.99065,550.63578,662.14252,462.89883,1783.92052,87.50095,6.46485,0,32197272797.2028,24779614.0,22.22132193019633
GHA,2011,0.29897,3.70317,2.22698,1.0686,117.60489,1456.72761,876.03578,420.36038,3202.43983,84.129005,6.073827499999999,0,39337314809.9434,25387712.0,57.37923961009168
GHA,2012,0.66456,2.55829,3.22964,1.46667,274.26832,1055.8298,1332.9014,605.30679,3268.30631,78.46621,4.02464,0,41270954737.2459,25996454.0,40.61437763781168
GHA,2013,0.29397,1.12316,1.71224,0.89469,183.45586,700.9148,1068.52839,558.33417,2875.07738,85.26784,6.88266,0,62823043706.4702,26607640.0,26.342614376923322
GHA,2014,0.32796,0.9746,1.66116,0.82044,175.98389,522.97566,891.38471,440.25226,2410.32828,85.28102,6.92316,0,54782847752.5375,27224480.0,19.20975754174184
GTM,2010,0.31419,1.55721,0.41529,0.31764,129.87807,643.71874,171.67198,131.30799,1158.73027,86.30819,0.11411,0,40676432028.5934,14259687.0,45.142557476892726
GTM,2011,0.33001,1.64761,0.36624,0.36351,157.26766,785.16659,174.52967,173.22981,1391.58606,86.30819,2.62093,0,46876114650.4996,14521515.0,54.069192505051994
GTM,2012,0.32535,1.64309,0.38647,0.37938,163.93983,827.9272,194.73772,191.16618,1490.42135,80.85063,2.38544,0,49593961141.7484,14781942.0,56.009366022407605
GTM,2013,0.30488,1.52236,0.41321,0.35515,161.57828,806.79643,218.98711,188.21909,1530.58874,90.21715,0.39923,0,52996540703.5943,15043981.0,53.62918432295281
GTM,2014,0.55514,1.46694,0.41294,0.36239,321.1633,848.6618,238.89721,209.64847,1727.25469,93.01441,3.00214,0,57852399963.7878,15306316.0,55.44520314359118
GTM,2015,0.52291,1.51261,0.39047,0.4178,325.18021,940.63742,242.81662,259.81692,1884.4448,95.67414,1.62557,0,62186186575.7433,15567419.0,60.42346647186666
GTM,2016,0.3558,1.63331,0.39196,0.4312,235.01955,1078.86005,258.90161,284.82165,1945.10991,87.4037,2.56263,0,66053725049.0138,15827690.0,68.16282413921425
GTM,2017,0.37562,1.66703,0.38798,0.39029,268.99239,1193.79601,277.83815,279.49451,2113.8673,85.42295,4.03498,0,71654134378.5299,16087418.0,74.20681242944019
GTM,2018,0.4112,1.74632,0.41389,0.43642,300.66445,1276.87857,302.62813,319.10279,2296.59094,79.01181,5.05455,0,73208583758.9105,16346950.0,78.11111981134096
GTM,2019,0.42142,1.83717,0.3994,0.43164,323.2749,1409.30372,306.38373,331.1145,2464.0881,78.87073,3.66618,0,77020015201.3201,16604026.0,84.87722917321378
GIN,2010,0.0,0.99253,0.63418,0.92448,0.0,68.02267,43.46327,63.35873,174.84467,77.97833,1.82932,0,6853467857.61127,10192168.0,6.674013811389295
GIN,2011,0.0,0.80382,0.49234,0.99126,0.0,54.54046,33.40576,67.25848,155.2047,87.89173,2.76882,0,6785137172.77058,10420459.0,5.233978656794293
GIN,2012,0.0013,0.79883,0.42134,0.61224,0.09911,61.01509,32.18208,46.76296,140.05925,85.57764,4.38711,0,7638045254.42864,10652032.0,5.728023535791105
