country,year,adj_enrollment,out_school_percentage,out_school,first_grade_percentage,overage_percentage,grade_5_percentage,last_grade,completion_rate,pupils,repeater_percentage,enrollment_gross_percentage,enrollment_net_percentage
AFE,2008,,,,,,,,,,,,
AFE,2009,,,,,,59.5342113655217,,,,,,
AFE,2010,,,,,,,,,,,,
AFE,2011,,,,,,,,,,,,
AFE,2012,,,,,,,,,,,,
AFE,2013,,,,,,,,,,,,
AFE,2014,,,,,,,,,,,,
AFE,2015,,,,,,,,,,,,
AFE,2016,,,,,,,,,,,,
AFE,2017,,,,,,,,,,,,
AFE,2018,,,,,,,,,,,,
AFE,2019,,,,,,,,,,,,
AFE,2020,,,,,,,,,,,,
AFG,2000,,,,,,,,,749360.0,,20.9575805664063,
AFG,2001,,,,,,,,,773623.0,,20.8829097747803,
AFG,2002,,,,186.3333,,,,,2667629.0,,68.9868469238281,
AFG,2003,,,,187.76297,,,,,3781015.0,,93.3621826171875,
AFG,2004,,,,,,,,,4430142.0,,104.663818359375,
AFG,2005,,,,110.66335,,,,,4318819.0,,98.0998916625977,
AFG,2006,,,,,,,,,4669110.0,,101.697853088379,
AFG,2007,,,,92.32102,,,,,4718077.0,,98.9335098266602,
AFG,2008,,,,,,,,,4974836.0,,100.779731750488,
AFG,2009,,,,102.5471,,,,,4945632.0,,96.8964004516602,
AFG,2010,,,,108.95861,,,,,5279326.0,,100.071708679199,
AFG,2011,,,,112.326,,,,,5291624.0,,97.6416397094727,
AFG,2012,,,,117.03964,,,,,5767543.0,,103.492393493652,
AFG,2013,,,,116.43935,,,,,5986268.0,,104.498428344727,
AFG,2014,,,,112.2448,,,,,6217756.0,,105.919708251953,
AFG,2015,,,,108.47538,,,,,6199329.0,,103.534523010254,
AFG,2016,,,,,,,,80.4950408935547,6265011.0,3.62815,102.486473083496,
AFG,2017,,,,,,,,84.4149475097656,6350404.0,3.68318,102.175788879395,
AFG,2018,,,,110.77532,,,,85.6253280639648,6544906.0,4.07978,103.996162414551,
AFG,2019,,,,,,,,84.3305892944336,6777785.0,,106.701080322266,
AFG,2020,,,,,,,,,,,,
AFW,2000,,,,,,,,,,,,
AFW,2001,,,,,,,,,,,,
AFW,2002,,,,,,,,,,,,
AFW,2003,,,,,,,,,,,,
AFW,2004,,,,,,77.009275660949,,,,,,
AFW,2005,,,,,,77.470892583688,,,,,,
AFW,2006,,,,,,66.8372801896755,,,,,,
AFW,2007,,,,,,66.7645837561689,,,,,,
AFW,2008,,,,,,82.5056538622486,,,,,,
AFW,2009,,,,,,70.7072673185712,,,,,,
AFW,2010,,,,,,,,,,,,
AFW,2011,,,,,,,,,,,,
AFW,2012,,,,,,,,,,,,
AFW,2013,,,,,,,,,,,,
AFW,2014,,,,,,,,,,,,
AFW,2015,,,,,,,,,,,,
AFW,2016,,,,,,,,,,,,
AFW,2017,,,,,,,,,,,,
AFW,2018,,,,,,,,,,,,
AFW,2019,,,,,,,,,,,,
AFW,2020,,,,,,,,,,,,
AGO,2000,,,,,,,,,,,,
AGO,2001,,,,,,,,,,,,
AGO,2002,,,,,,,,,,,,
AGO,2003,,,,,,,,,,,,
AGO,2004,,,,,,,,,,,,
AGO,2005,,,,,,,,,,,,
AGO,2006,,,,,,,,,,,,
AGO,2007,,,,,,,,,3558605.0,,98.9735794067383,
AGO,2008,82.44691,17.5530891418457,655870.0,137.4107,28.13541,40.1021499633789,27.5904197692871,39.1970100402832,3930051.0,9.53784,105.180206298828,75.37373
AGO,2009,81.2593,18.7406997680664,728219.0,135.71212,28.10576,44.7980918884277,31.8728504180908,38.7875785827637,4046266.0,11.08938,104.130569458008,74.65254
AGO,2010,81.90919,18.0908107757568,730775.0,138.02579,28.13743,,,39.8072090148926,4273006.0,10.84637,105.781036376953,75.80242
